C_H_F_per_m2,c_ion_M,g,lambda_D_nm,phi_RP_V,sigma_C_per_m2,sigma_mC_per_m2
0.2,0.0001,8.751029451499736,30.41217889017721,-0.17948934509994327,-0.0041021309800113375,-4.102130980011338
0.2,0.001,2.767318493795316,9.617175390145178,-0.14691184185000675,-0.010617631629998642,-10.617631629998643
0.2,0.01,0.8751029451499736,3.0412178890177213,-0.09333918944700728,-0.021332162110598536,-21.332162110598535
0.2,0.1,0.2767318493795316,0.9617175390145177,-0.0433500346237964,-0.03132999307524072,-31.32999307524072
0.2,1.0,0.08751029451499735,0.30412178890177216,-0.016093694920658156,-0.036781261015868365,-36.78126101586837
