condition,E_mix_V,I_Au_A,I_Pd_A,i_mix_avg_A_per_m2,phi_RP_Au_V,phi_RP_Pd_V,max_abs_phi_tilde
with EDL,0.6249104327868923,1.7260231250742582e-12,-1.7260231250742616e-12,0.04315057812685645,-0.2093829206639622,-0.10643794490982253,8.154076289311629
w/o EDL,0.46699999999999986,4.7024141631489615e-12,-4.702414163148978e-12,0.11756035407872402,0.0,0.0,0.0
