model_id,L_Au_nm,L_support_nm,L_Pd_nm,L_total_nm,C_H_Au_uF_per_cm2,C_H_C_uF_per_cm2,C_H_Pd_uF_per_cm2,PZC_Au_SHE_V,PZC_Pd_SHE_V,PZC_Au_RHE_V,PZC_Pd_RHE_V,PZC_difference_V,N_modes,coefficient_grid_Nx,gl_order,root_xtol_V,profile_grid_kind,profile_grid_points,Ny_2d,lambda_D_nm,E_mix_with_V,E_mix_no_V,i_mix_abs_with_A,i_mix_abs_no_A,i_mix_avg_with_A_per_m2,i_mix_avg_no_A_per_m2,relative_balance_with,relative_balance_no,max_abs_phi_tilde_with,debye_huckel_threshold,debye_huckel_threshold_exceeded,phi_2d_surface_max_error
legacy_Au_C_Pd_linear_PB_piecewise_Robin,2.0,0.0,2.0,4.0,50.0,20.0,50.0,0.51,0.21,0.923885500110236,0.6238855001102359,0.30000000000000004,960,4,128,1e-13,piecewise-uniform,801,320,3.0412178890177213,0.5918979952021434,0.4670000000000001,1.5640481031151112e-12,4.7024141631489785e-12,0.039101202577877775,0.11756035407872445,2.0225036336523547e-13,1.7950514385510672e-15,7.847215144114539,1.0,True,9.769962616701378e-15
legacy_Au_C_Pd_linear_PB_piecewise_Robin,2.0,1.0,2.0,5.0,50.0,20.0,50.0,0.51,0.21,0.923885500110236,0.6238855001102359,0.30000000000000004,960,4,128,1e-13,piecewise-uniform,901,320,3.0412178890177213,0.5811563626802385,0.4670000000000001,1.2164317052945408e-12,4.7024141631489785e-12,0.030410792632363518,0.11756035407872445,1.9082828075410797e-15,1.7950514385510672e-15,8.013723253986674,1.0,True,1.887379141862766e-14
legacy_Au_C_Pd_linear_PB_piecewise_Robin,2.0,2.0,2.0,6.000000000000001,50.0,20.0,50.0,0.51,0.21,0.923885500110236,0.6238855001102359,0.30000000000000004,960,4,128,1e-13,piecewise-uniform,1001,320,3.0412178890177213,0.5763013565379312,0.4670000000000002,1.1155177333253115e-12,4.7024141631489906e-12,0.027887943333132784,0.11756035407872475,2.364674227057377e-15,4.308123452522561e-15,8.05402930398583,1.0,True,1.9539925233402755e-14
legacy_Au_C_Pd_linear_PB_piecewise_Robin,2.0,3.0,2.0,7.0,50.0,20.0,50.0,0.51,0.21,0.923885500110236,0.6238855001102359,0.30000000000000004,960,4,128,1e-13,piecewise-uniform,1102,320,3.0412178890177213,0.5736838554765842,0.46699999999999964,1.0675920334535028e-12,4.7024141631489405e-12,0.02668980083633757,0.1175603540787235,1.2848304357884258e-15,6.0134223191460756e-15,8.069704802497517,1.0,True,1.84297022087776e-14
legacy_Au_C_Pd_linear_PB_piecewise_Robin,2.0,10.0,2.0,14.0,50.0,20.0,50.0,0.51,0.21,0.923885500110236,0.6238855001102359,0.30000000000000004,960,4,128,1e-13,piecewise-uniform,1801,320,3.0412178890177213,0.5700216657228144,0.46699999999999964,1.0038762959716807e-12,4.7024141631489405e-12,0.025096907399292018,0.1175603540787235,1.3663782510758781e-15,6.0134223191460756e-15,8.08718498005275,1.0,True,1.7763568394002505e-14
legacy_Au_C_Pd_linear_PB_piecewise_Robin,2.0,1000.0,2.0,1004.0,50.0,20.0,50.0,0.51,0.21,0.923885500110236,0.6238855001102359,0.30000000000000004,7680,4,128,1e-13,nonuniform-boundary-layer,1521,320,3.0412178890177213,0.5698300077290945,0.4670000000000165,1.001872044492863e-12,4.702414163150486e-12,0.02504680111232157,0.11756035407876213,9.47846561240091e-16,3.033636931151246e-13,8.09149024003571,1.0,True,1.965094753586527e-14
