L_support_nm,pzc_support_V,N_modes,gl_order,lambda_D_nm,E_mix_with_V,E_mix_no_V,i_mix_avg_with_A_per_m2,i_mix_avg_no_A_per_m2,i_mix_abs_with_A,i_mix_abs_no_A,phi_RP_Au_mean_mV,phi_RP_Pd_mean_mV,sigma_support_signed_mean_C_per_m2,sigma_support_signed_mean_uC_per_cm2,relative_balance_with,relative_balance_no,max_abs_phi_tilde_with_edl,debye_huckel_ok_with_edl,overlap_reference_L_support_nm,overlap_delta_phi_RP_Au_mean_vs_15nm_mV,overlap_delta_phi_RP_Pd_mean_vs_15nm_mV,overlap_active_RP_RMS_vs_15nm_mV
1.0,0.1,960,128,3.0412178890177213,0.6003568752301423,0.4670000000000001,0.06427793296666569,0.11756035407872445,2.571117318666628e-12,4.7024141631489785e-12,-172.3125885238817,-100.61850545688203,0.10545451004600986,10.545451004600986,1.149063224936908e-15,1.7950514385510672e-15,7.584909325163384,False,15.0,-20.222893891363896,-30.837504349443492,26.0760149547751
3.0,0.1,960,128,3.0412178890177213,0.5820013630825408,0.46699999999999964,0.06576219060784634,0.1175603540787235,2.630487624313854e-12,4.7024141631489405e-12,-159.06810571716812,-80.30473592921963,0.08209041615224245,8.209041615224246,1.6044696865709965e-16,6.0134223191460756e-15,7.3819979120642625,False,15.0,-6.978411084650332,-10.52373482178109,8.928807755393173
6.0,0.1,1920,128,3.0412178890177213,0.5747842044896917,0.4670000000000002,0.06624098025052523,0.11756035407872475,2.6496392100210095e-12,4.7024141631489906e-12,-153.7385031139193,-72.28176099550109,0.06861685634431929,6.861685634431929,7.964362918071148e-16,4.308123452522561e-15,7.271716968514406,False,15.0,-1.6488084814015167,-2.5007598880625466,2.1180615460939958
15.0,0.1,3840,128,3.0412178890177213,0.5725661540344751,0.4670000000000002,0.06628489644400375,0.11756035407872475,2.6513958577601503e-12,4.7024141631489906e-12,-152.0896946325178,-69.78100110743854,0.05792085336137703,5.792085336137703,4.775451739987063e-16,4.308123452522561e-15,8.366609732309396,False,15.0,0.0,0.0,0.0
1.0,0.12,960,128,3.0412178890177213,0.6009452987978999,0.4670000000000001,0.06401811876950773,0.11756035407872445,2.5607247507803095e-12,4.7024141631489785e-12,-172.796388870989,-101.10230580398942,0.10217679046767374,10.217679046767374,1.5657718660251822e-15,1.7950514385510672e-15,7.588279582129605,False,15.0,-19.66082934765572,-30.27543980573533,25.52597173535558
3.0,0.12,960,128,3.0412178890177213,0.5830459457277468,0.46699999999999964,0.06521512358381291,0.1175603540787235,2.608604943352517e-12,4.7024141631489405e-12,-159.92084822174462,-81.15747843379621,0.07935700991912915,7.935700991912915,1.3752396717398133e-15,6.0134223191460756e-15,7.391401374333128,False,15.0,-6.785288698411335,-10.330612435542122,8.739613721846238
6.0,0.12,1920,128,3.0412178890177213,0.5760082343946613,0.4670000000000002,0.06558889416140737,0.11756035407872475,2.6235557664562948e-12,4.7024141631489906e-12,-154.73833823773032,-73.28159611931208,0.06619713463233731,6.619713463233731,1.447838059044302e-15,4.308123452522561e-15,7.284285573179687,False,15.0,-1.602778714397033,-2.4547301210579917,2.0729929539862875
15.0,0.12,3840,128,3.0412178890177213,0.5738449256415761,0.4670000000000002,0.06560550154123226,0.11756035407872475,2.6242200616492907e-12,4.7024141631489906e-12,-153.13555952333328,-70.82686599825409,0.05574962683013159,5.574962683013159,3.2166034516626473e-16,4.308123452522561e-15,8.031587999915843,False,15.0,0.0,0.0,0.0
1.0,0.14,960,128,3.0412178890177213,0.6015323968860642,0.4670000000000001,0.06376553406904036,0.11756035407872445,2.5506213627616143e-12,4.7024141631489785e-12,-173.28107159139674,-101.58698852439717,0.09889896664735959,9.889896664735959,9.928257598082853e-16,1.7950514385510672e-15,7.591684677549731,False,15.0,-19.096987451928157,-29.711597910007782,24.9747270265871
3.0,0.14,960,128,3.0412178890177213,0.5840872844954658,0.46699999999999964,0.064685225181992,0.1175603540787235,2.5874090072796805e-12,4.7024141631489405e-12,-160.7757000769846,-82.01233028903613,0.07662331069871851,7.662331069871851,1.1418281182318168e-15,6.0134223191460756e-15,7.400888755064605,False,15.0,-6.591615937516025,-10.13693967464674,8.550056918966751
6.0,0.14,1920,128,3.0412178890177213,0.5772283129807051,0.4670000000000002,0.0649580437206951,0.11756035407872475,2.598321748827804e-12,4.7024141631489906e-12,-155.7407188944842,-74.28397677606597,0.0637770291561615,6.37770291561615,1.2994657512344734e-15,4.308123452522561e-15,7.296955692180134,False,15.0,-1.556634755015608,-2.408586161676581,2.0278558946264438
15.0,0.14,3840,128,3.0412178890177213,0.5751195567399205,0.4670000000000002,0.06494844284247965,0.11756035407872475,2.597937713699186e-12,4.7024141631489906e-12,-154.18408413946858,-71.87539061438939,0.05357797516246262,5.357797516246262,8.935147665477223e-16,4.308123452522561e-15,7.6964931888536885,False,15.0,0.0,0.0,0.0
1.0,0.16,960,128,3.0412178890177213,0.6021181948821998,0.4670000000000001,0.06352009610636118,0.11756035407872445,2.5408038442544475e-12,4.7024141631489785e-12,-173.7666197845734,-102.07253671757384,0.09562104058166548,9.562104058166549,2.4085997871503297e-15,1.7950514385510672e-15,7.59512394414565,False,15.0,-18.53137778739884,-29.145988245478506,24.422331926997373
3.0,0.16,960,128,3.0412178890177213,0.5851254212386207,0.46699999999999964,0.06417217360641489,0.1175603540787235,2.566886944256596e-12,4.7024141631489405e-12,-161.63263406777554,-82.86926427982708,0.07388932227117016,7.388932227117016,8.221121042271025e-17,6.0134223191460756e-15,7.410458971531957,False,15.0,-6.397392070600972,-9.942715807731744,8.36015020613586
6.0,0.16,1920,128,3.0412178890177213,0.5784444820412151,0.4670000000000002,0.06434798486677279,0.11756035407872475,2.573919394670912e-12,4.7024141631489906e-12,-156.74561815989097,-75.28887604147269,0.061356543974894075,6.135654397489407,7.378793400766564e-16,4.308123452522561e-15,7.309726251791156,False,15.0,-1.5103761627163976,-2.3623275693773564,1.9826532346759782
15.0,0.16,3840,128,3.0412178890177213,0.5763900885578992,0.4670000000000002,0.0643132409147142,0.11756035407872475,2.572529636588568e-12,4.7024141631489906e-12,-155.23524199717457,-72.92654847209533,0.0514059025915916,5.1405902591591595,0.0,4.308123452522561e-15,7.361325267535529,False,15.0,0.0,0.0,0.0
1.0,0.18,960,128,3.0412178890177213,0.6027027186100874,0.4670000000000001,0.06328172431236848,0.11756035407872445,2.531268972494739e-12,4.7024141631489785e-12,-174.2530162595985,-102.55893319259891,0.0923430143014956,9.234301430149559,1.250520302259338e-15,1.7950514385510672e-15,7.598596703173921,False,15.0,-17.96401192259816,-28.578622380677814,23.868843515476698
3.0,0.18,960,128,3.0412178890177213,0.5861604001105001,0.46699999999999964,0.06367565637422912,0.1175603540787235,2.547026254969165e-12,4.7024141631489405e-12,-162.49162148317848,-83.72825169523003,0.07115504862441298,7.1155048624412975,4.971135628316677e-16,6.0134223191460756e-15,7.420110881498413,False,15.0,-6.202617146178142,-9.747940883308928,8.16990853457212
6.0,0.18,1920,128,3.0412178890177213,0.5796567866355522,0.4670000000000002,0.06375828683169817,0.11756035407872475,2.550331473267927e-12,4.7024141631489906e-12,-157.75300700564657,-76.29626488722833,0.05893568346483815,5.893568346483815,2.482346529275066e-16,4.308123452522561e-15,7.3225960943812805,False,15.0,-1.4640026686462306,-2.315954075307232,1.9373883313284745
15.0,0.18,3840,128,3.0412178890177213,0.5776565658665856,0.4670000000000002,0.06369943080981161,0.11756035407872475,2.5479772323924645e-12,4.7024141631489906e-12,-156.28900433700034,-73.9803108119211,0.04923341371449326,4.923341371449326,1.5736054154775004e-15,4.308123452522561e-15,7.287903443858893,False,15.0,0.0,0.0,0.0
1.0,0.2,960,128,3.0412178890177213,0.6032859943196553,0.4670000000000001,0.06305034029237988,0.11756035407872445,2.5220136116951954e-12,4.7024141631489785e-12,-174.74024354186417,-103.04616047486456,0.08906488987126823,8.906488987126822,2.0081751983605844e-15,1.7950514385510672e-15,7.602102264690364,False,15.0,-17.39490341245886,-28.009513870538456,23.314325338648114
3.0,0.2,960,128,3.0412178890177213,0.5871922675423572,0.46699999999999964,0.06319537018539968,0.1175603540787235,2.5278148074159875e-12,4.7024141631489405e-12,-163.35263213099435,-84.58926234304586,0.0684204939521218,6.84204939521218,6.678555156382053e-16,6.0134223191460756e-15,7.429843283796735,False,15.0,-6.007292001589036,-9.552615738719751,7.979349116437754
6.0,0.2,1920,128,3.0412178890177213,0.5808652750758421,0.4670000000000002,0.06318853192003894,0.11756035407872475,2.5275412768015577e-12,4.7024141631489906e-12,-158.762854307939,-77.30611218952079,0.05651445231821528,5.651445231821528,5.844368171143752e-16,4.308123452522561e-15,7.335563978751468,False,15.0,-1.4175141785336791,-2.2694655851946806,1.8920650740298344
15.0,0.2,3840,128,3.0412178890177213,0.578919036971,0.4670000000000002,0.063106561813267,0.11756035407872475,2.5242624725306803e-12,4.7024141631489906e-12,-157.34534012940532,-75.03664660432611,0.04706051349099853,4.7060513490998535,1.003193059368457e-15,4.308123452522561e-15,7.302025186887581,False,15.0,0.0,0.0,0.0
1.0,0.22,960,128,3.0412178890177213,0.6038680486768024,0.4670000000000001,0.06282586781126231,0.11756035407872445,2.513034712450493e-12,4.7024141631489785e-12,-175.22828387985092,-103.53420081285135,0.08578666938811573,8.578666938811573,7.35266956646894e-13,1.7950514385510672e-15,7.605639927817583,False,15.0,-16.824067795352704,-27.438678253432286,22.758847965988984
3.0,0.22,960,128,3.0412178890177213,0.5882210722178439,0.46699999999999964,0.06273102079758529,0.1175603540787235,2.509240831903412e-12,4.7024141631489405e-12,-164.21563435438844,-85.45226456643996,0.06568566265140831,6.568566265140831,4.204994594829507e-16,6.0134223191460756e-15,7.439654918990559,False,15.0,-5.8114182698902255,-9.356742007020898,7.788491615632752
6.0,0.22,1920,128,3.0412178890177213,0.5820699989081345,0.4670000000000002,0.0626383152970331,0.11756035407872475,2.5055326118813247e-12,4.7024141631489906e-12,-159.77512685958598,-78.3183847411678,0.054092855541335715,5.409285554133572,1.5160384944454566e-15,4.308123452522561e-15,7.348628580619078,False,15.0,-1.370910775087765,-2.222862181748738,1.8466879314465257
15.0,0.22,3840,128,3.0412178890177213,0.5801775536949471,0.4670000000000002,0.06253419720363945,0.11756035407872475,2.5013678881455784e-12,4.7024141631489906e-12,-158.40421608449822,-76.09552255941907,0.044887207242237846,4.488720724223785,1.6872918510362257e-15,4.308123452522561e-15,7.316248293342737,False,15.0,0.0,0.0,0.0
