run,R,F,T,epsilon0,epsilon_r,epsilon_s,C_tot,lambda_D,L_Au,L_gap,L_Pd_len,out_of_plane_width,Cdl_Au,Cdl_C,Cdl_Pd,g_Au,g_C,g_Pd,pzc_Au,pzc_C,pzc_Pd,it0_1,it0_2,alpha1,alpha2,z_R1,z_O2,E1_eq,E2_eq,N_modes,Nx,xtol,max_bracket_expands,use_edl,use_affine_phi2,use_closed_form_when_affine,do_self_checks,do_convergence_check,dh_warn_threshold,dh_violation_action,do_ofat,do_heatmaps,do_sensitivities,ofat_n,heatmap_nx,heatmap_ny,scan_mode,heatmap_mode,sensitivity_mode,ofat_C_tot_min,ofat_C_tot_max,heatmap_C_tot_min,heatmap_C_tot_max,ofat_L_gap_min,ofat_L_gap_max,mode,E_mix,i_mix,i_mix_norm_A_per_m2,i_mix_phys_A_per_m,i_mix_abs_A,residual,residual_norm_A_per_m2,residual_phys_A_per_m,residual_abs_A,converged,method,iterations,out_of_plane_width_m,a1,b1,a2,b2,max_abs_phi_tilde,debye_huckel_ok,use_edl_case,C_tot_M,phi2_1_meanV,phi2_2_meanV,scan_param,scan_value,scan_value_M
ofat_compare:T:with_edl_FULL,8.314,96485.0,276.57142857142856,8.8541878128e-12,78.5,,0.1,2.9298343122682206e-08,1.1e-08,1e-08,3.7e-08,1.0,0.00012,1.0,3.77e-05,0.005058315574282275,42.152629785685626,0.0015891541429203483,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,False,False,15,25,25,BOTH,BOTH,BOTH,0.1,10000.0,0.1,10000.0,0.0,1e-06,FULL,0.4405124065969017,0.11824747016051354,0.11824747016051354,3.4644549541518514e-09,3.4644549541518514e-09,1.5543122344752192e-15,1.5543122344752192e-15,4.553877316543785e-23,4.553877316543785e-23,True,brentq,16,1.0,0.6167664274618992,-0.22288274794269097,0.3166630073525407,-0.11434195171807597,3.174189217014897,False,with_edl_FULL,0.0001,,,T,276.57142857142856,
ofat_compare:T:without_edl,8.314,96485.0,276.57142857142856,8.8541878128e-12,78.5,,0.1,2.9298343122682206e-08,1.1e-08,1e-08,3.7e-08,1.0,0.00012,1.0,3.77e-05,0.005058315574282275,42.152629785685626,0.0015891541429203483,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,False,False,15,25,25,BOTH,BOTH,BOTH,0.1,10000.0,0.1,10000.0,0.0,1e-06,FULL,0.4858618316355732,0.10897549901170385,0.10897549901170385,3.1928015620104152e-09,3.1928015620104152e-09,9.382772336863354e-12,9.382772336863354e-12,2.748996833674333e-19,2.748996833674333e-19,True,brentq,12,1.0,0.0,0.0,0.0,0.0,0.0,True,without_edl,0.0001,,,T,276.57142857142856,
ofat_compare:T:with_edl_FULL,8.314,96485.0,280.85714285714283,8.8541878128e-12,78.5,,0.1,2.9524472099550973e-08,1.1e-08,1e-08,3.7e-08,1.0,0.00012,1.0,3.77e-05,0.005097356407434586,42.477970061954885,0.0016014194713356992,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,False,False,15,25,25,BOTH,BOTH,BOTH,0.1,10000.0,0.1,10000.0,0.0,1e-06,FULL,0.4411089147711599,0.10594516173820157,0.10594516173820157,3.1279749718219475e-09,3.1279749718219475e-09,6.800116025829084e-16,6.800116025829084e-16,2.0076983587830025e-23,2.0076983587830025e-23,True,brentq,16,1.0,0.618444272232893,-0.2234887681194002,0.3187225065391375,-0.11508566692371337,3.1498919677270205,False,with_edl_FULL,0.0001,,,T,280.85714285714283,
ofat_compare:T:without_edl,8.314,96485.0,280.85714285714283,8.8541878128e-12,78.5,,0.1,2.9524472099550973e-08,1.1e-08,1e-08,3.7e-08,1.0,0.00012,1.0,3.77e-05,0.005097356407434586,42.477970061954885,0.0016014194713356992,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,False,False,15,25,25,BOTH,BOTH,BOTH,0.1,10000.0,0.1,10000.0,0.0,1e-06,FULL,0.48700389122373583,0.09785599900040516,0.09785599900040516,2.88914671226115e-09,2.88914671226115e-09,8.102851722924242e-12,8.102851722924242e-12,2.3923241962027533e-19,2.3923241962027533e-19,True,brentq,12,1.0,0.0,0.0,0.0,0.0,0.0,True,without_edl,0.0001,,,T,280.85714285714283,
ofat_compare:T:with_edl_FULL,8.314,96485.0,285.14285714285717,8.8541878128e-12,78.5,,0.1,2.9748882261017943e-08,1.1e-08,1e-08,3.7e-08,1.0,0.00012,1.0,3.77e-05,0.0051361004896518766,42.800837413765635,0.0016135915704989644,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,False,False,15,25,25,BOTH,BOTH,BOTH,0.1,10000.0,0.1,10000.0,0.0,1e-06,FULL,0.4417053922087731,0.09522515754366917,0.09522515754366917,2.832842000053499e-09,2.832842000053499e-09,-9.286589552903735e-11,-9.286589552903735e-11,-2.7626565921573248e-18,-2.7626565921573248e-18,True,brentq,15,1.0,0.6200916843299106,-0.2240837954076939,0.3207570031150101,-0.11582035366482835,3.126321573571696,False,with_edl_FULL,0.0001,,,T,285.14285714285717,
ofat_compare:T:without_edl,8.314,96485.0,285.14285714285717,8.8541878128e-12,78.5,,0.1,2.9748882261017943e-08,1.1e-08,1e-08,3.7e-08,1.0,0.00012,1.0,3.77e-05,0.0051361004896518766,42.800837413765635,0.0016135915704989644,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,False,False,15,25,25,BOTH,BOTH,BOTH,0.1,10000.0,0.1,10000.0,0.0,1e-06,FULL,0.488145950811997,0.08814573254435731,0.08814573254435731,2.6222370192732633e-09,2.6222370192732633e-09,7.32469640496447e-12,7.32469640496447e-12,2.179015309489894e-19,2.179015309489894e-19,True,brentq,12,1.0,0.0,0.0,0.0,0.0,0.0,True,without_edl,0.0001,,,T,285.14285714285717,
ofat_compare:T:with_edl_FULL,8.314,96485.0,289.42857142857144,8.8541878128e-12,78.5,,0.1,2.9971612215605825e-08,1.1e-08,1e-08,3.7e-08,1.0,0.00012,1.0,3.77e-05,0.005174554486638444,43.121287388653705,0.0016256725345522448,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,False,False,15,25,25,BOTH,BOTH,BOTH,0.1,10000.0,0.1,10000.0,0.0,1e-06,FULL,0.4423018290703728,0.08585052883051243,0.08585052883051243,2.5730787586128064e-09,2.5730787586128064e-09,9.556144764388819e-11,9.556144764388819e-11,2.8641306515445357e-18,2.8641306515445357e-18,True,brentq,15,1.0,0.6217096625810247,-0.22466819062523988,0.3227670709748051,-0.11654621916637929,3.1034455127564833,False,with_edl_FULL,0.0001,,,T,289.42857142857144,
ofat_compare:T:without_edl,8.314,96485.0,289.42857142857144,8.8541878128e-12,78.5,,0.1,2.9971612215605825e-08,1.1e-08,1e-08,3.7e-08,1.0,0.00012,1.0,3.77e-05,0.005174554486638444,43.121287388653705,0.0016256725345522448,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,False,False,15,25,25,BOTH,BOTH,BOTH,0.1,10000.0,0.1,10000.0,0.0,1e-06,FULL,0.4892880104003623,0.07963626986609845,0.07963626986609845,2.3868273987240385e-09,2.3868273987240385e-09,6.929498641561338e-12,6.929498641561338e-12,2.0768824613344377e-19,2.0768824613344377e-19,True,brentq,12,1.0,0.0,0.0,0.0,0.0,0.0,True,without_edl,0.0001,,,T,289.42857142857144,
ofat_compare:T:with_edl_FULL,8.314,96485.0,293.7142857142857,8.8541878128e-12,78.5,,0.1,3.0192699147731e-08,1.1e-08,1e-08,3.7e-08,1.0,0.00012,1.0,3.77e-05,0.005212724818228741,43.43937348523951,0.0016376643803935294,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,False,False,15,25,25,BOTH,BOTH,BOTH,0.1,10000.0,0.1,10000.0,0.0,1e-06,FULL,0.442898215965532,0.0776243305860107,0.0776243305860107,2.343688059927435e-09,2.343688059927435e-09,5.379656442539016e-11,5.379656442539016e-11,1.6242634848773333e-18,1.6242634848773333e-18,True,brentq,15,1.0,0.6232991590744866,-0.22524229770462276,0.3247532640970745,-0.1172634634622394,3.0812331702669677,False,with_edl_FULL,0.0001,,,T,293.7142857142857,
ofat_compare:T:without_edl,8.314,96485.0,293.7142857142857,8.8541878128e-12,78.5,,0.1,3.0192699147731e-08,1.1e-08,1e-08,3.7e-08,1.0,0.00012,1.0,3.77e-05,0.005212724818228741,43.43937348523951,0.0016376643803935294,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,False,False,15,25,25,BOTH,BOTH,BOTH,0.1,10000.0,0.1,10000.0,0.0,1e-06,FULL,0.4904300699888502,0.07215398022491477,0.07215398022491477,2.178523417242184e-09,2.178523417242184e-09,6.856806789024006e-12,6.856806789024006e-12,2.0702550449512124e-19,2.0702550449512124e-19,True,brentq,12,1.0,0.0,0.0,0.0,0.0,0.0,True,without_edl,0.0001,,,T,293.7142857142857,
ofat_compare:T:with_edl_FULL,8.314,96485.0,298.0,8.8541878128e-12,78.5,,0.1,3.041217889017721e-08,1.1e-08,1e-08,3.7e-08,1.0,0.00012,1.0,3.77e-05,0.005250617670899842,43.75514725749868,0.0016495690516077001,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,False,False,15,25,25,BOTH,BOTH,BOTH,0.1,10000.0,0.1,10000.0,0.0,1e-06,FULL,0.44349454423603574,0.07038215501102128,0.07038215501102128,2.140474688871362e-09,2.140474688871362e-09,3.060189601722385e-11,3.060189601722385e-11,9.306703360544132e-19,9.306703360544132e-19,True,brentq,15,1.0,0.6248610819651622,-0.22580644470723008,0.32671611748407864,-0.11797227973451423,3.0596557118175287,False,with_edl_FULL,0.0001,,,T,298.0,
ofat_compare:T:without_edl,8.314,96485.0,298.0,8.8541878128e-12,78.5,,0.1,3.041217889017721e-08,1.1e-08,1e-08,3.7e-08,1.0,0.00012,1.0,3.77e-05,0.005250617670899842,43.75514725749868,0.0016495690516077001,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,False,False,15,25,25,BOTH,BOTH,BOTH,0.1,10000.0,0.1,10000.0,0.0,1e-06,FULL,0.49157212957749513,0.06555361211259984,0.06555361211259984,1.993628178465674e-09,1.993628178465674e-09,7.0887740122316245e-12,7.0887740122316245e-12,2.1558506337202743e-19,2.1558506337202743e-19,True,brentq,12,1.0,0.0,0.0,0.0,0.0,0.0,True,without_edl,0.0001,,,T,298.0,
ofat_compare:T:with_edl_FULL,8.314,96485.0,302.2857142857143,8.8541878128e-12,78.5,,0.1,3.063008599189504e-08,1.1e-08,1e-08,3.7e-08,1.0,0.00012,1.0,3.77e-05,0.005288239009476925,44.068658412307705,0.0016613884221440005,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,False,False,15,25,25,BOTH,BOTH,BOTH,0.1,10000.0,0.1,10000.0,0.0,1e-06,FULL,0.4440908057207129,0.06398619196572107,0.06398619196572107,1.9599025622039397e-09,1.9599025622039397e-09,1.7594661838593595e-11,1.7594661838593595e-11,5.389260051144358e-19,5.389260051144358e-19,True,brentq,15,1.0,0.6263962980768407,-0.22636094476338375,0.32865614804493,-0.11867285463240976,3.038685949533061,False,with_edl_FULL,0.0001,,,T,302.2857142857143,
ofat_compare:T:without_edl,8.314,96485.0,302.2857142857143,8.8541878128e-12,78.5,,0.1,3.063008599189504e-08,1.1e-08,1e-08,3.7e-08,1.0,0.00012,1.0,3.77e-05,0.005288239009476925,44.068658412307705,0.0016613884221440005,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,False,False,15,25,25,BOTH,BOTH,BOTH,0.1,10000.0,0.1,10000.0,0.0,1e-06,FULL,0.49271418916635473,0.05971316254858487,0.05971316254858487,1.8290193037111609e-09,1.8290193037111609e-09,7.645849231519009e-12,7.645849231519009e-12,2.341930194424918e-19,2.341930194424918e-19,True,brentq,12,1.0,0.0,0.0,0.0,0.0,0.0,True,without_edl,0.0001,,,T,302.2857142857143,
ofat_compare:T:with_edl_FULL,8.314,96485.0,306.57142857142856,8.8541878128e-12,78.5,,0.1,3.084645378149048e-08,1.1e-08,1e-08,3.7e-08,1.0,0.00012,1.0,3.77e-05,0.005325594588094487,44.37995490078739,0.0016731242997596847,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,False,False,15,25,25,BOTH,BOTH,BOTH,0.1,10000.0,0.1,10000.0,0.0,1e-06,FULL,0.4446869927708963,0.058320470079853685,0.058320470079853685,1.7989796848330053e-09,1.7989796848330053e-09,1.022758266966406e-11,1.022758266966406e-11,3.1548465611616545e-19,3.1548465611616545e-19,True,brentq,15,1.0,0.627905635317794,-0.2269060969450009,0.33057385542629636,-0.11936536857215416,3.01829822788833,False,with_edl_FULL,0.0001,,,T,306.57142857142856,
ofat_compare:T:without_edl,8.314,96485.0,306.57142857142856,8.8541878128e-12,78.5,,0.1,3.084645378149048e-08,1.1e-08,1e-08,3.7e-08,1.0,0.00012,1.0,3.77e-05,0.005325594588094487,44.37995490078739,0.0016731242997596847,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,False,False,15,25,25,BOTH,BOTH,BOTH,0.1,10000.0,0.1,10000.0,0.0,1e-06,FULL,0.4938562487555206,0.05452975687216071,0.05452975687216071,1.6820496250730184e-09,1.6820496250730184e-09,8.587290600825526e-12,8.587290600825526e-12,2.648874626265922e-19,2.648874626265922e-19,True,brentq,12,1.0,0.0,0.0,0.0,0.0,0.0,True,without_edl,0.0001,,,T,306.57142857142856,
ofat_compare:T:with_edl_FULL,8.314,96485.0,310.85714285714283,8.8541878128e-12,78.5,,0.1,3.106131442673302e-08,1.1e-08,1e-08,3.7e-08,1.0,0.00012,1.0,3.77e-05,0.005362689960470315,44.689083003919286,0.0016847784292477572,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,False,False,15,25,25,BOTH,BOTH,BOTH,0.1,10000.0,0.1,10000.0,0.0,1e-06,FULL,0.4452830982183788,0.05328702530162785,0.05328702530162785,1.6551650477591405e-09,1.6551650477591405e-09,6.012343400918496e-12,6.012343400918496e-12,1.8675128881742274e-19,1.8675128881742274e-19,True,brentq,15,1.0,0.629389884925205,-0.22744218707643957,0.33246972279444825,-0.1200499960193662,2.9984683173583857,False,with_edl_FULL,0.0001,,,T,310.85714285714283,
ofat_compare:T:without_edl,8.314,96485.0,310.85714285714283,8.8541878128e-12,78.5,,0.1,3.106131442673302e-08,1.1e-08,1e-08,3.7e-08,1.0,0.00012,1.0,3.77e-05,0.005362689960470315,44.689083003919286,0.0016847784292477572,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,False,False,15,25,25,BOTH,BOTH,BOTH,0.1,10000.0,0.1,10000.0,0.0,1e-06,FULL,0.4949983083451377,0.049916324673076606,0.049916324673076606,1.5504666556973238e-09,1.5504666556973238e-09,1.0021060370402068e-11,1.0021060370402068e-11,3.112673070543323e-19,3.112673070543323e-19,True,brentq,12,1.0,0.0,0.0,0.0,0.0,0.0,True,without_edl,0.0001,,,T,310.85714285714283,
ofat_compare:T:with_edl_FULL,8.314,96485.0,315.1428571428571,8.8541878128e-12,78.5,,0.1,3.1274698990383854e-08,1.1e-08,1e-08,3.7e-08,1.0,0.00012,1.0,3.77e-05,0.005399530489544152,44.99608741286794,0.0016963524954651213,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,False,False,15,25,25,BOTH,BOTH,BOTH,0.1,10000.0,0.1,10000.0,0.0,1e-06,FULL,0.44587911534561886,0.04880280230519286,0.04880280230519286,1.5262929519821181e-09,1.5262929519821181e-09,3.5754940674870284e-12,3.5754940674870284e-12,1.1182250070256003e-19,1.1182250070256003e-19,True,brentq,15,1.0,0.6308498035526802,-0.22796948848863788,0.3343442175721492,-0.12072690575511061,2.9791733167935845,False,with_edl_FULL,0.0001,,,T,315.1428571428571,
ofat_compare:T:without_edl,8.314,96485.0,315.1428571428571,8.8541878128e-12,78.5,,0.1,3.1274698990383854e-08,1.1e-08,1e-08,3.7e-08,1.0,0.00012,1.0,3.77e-05,0.005399530489544152,44.99608741286794,0.0016963524954651213,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,False,False,15,25,25,BOTH,BOTH,BOTH,0.1,10000.0,0.1,10000.0,0.0,1e-06,FULL,0.49614036793543453,0.045798906049283813,0.045798906049283813,1.4323470007802214e-09,1.4323470007802214e-09,1.2120075776334005e-11,1.2120075776334005e-11,3.790517216454889e-19,3.790517216454889e-19,True,brentq,12,1.0,0.0,0.0,0.0,0.0,0.0,True,without_edl,0.0001,,,T,315.1428571428571,
ofat_compare:T:with_edl_FULL,8.314,96485.0,319.42857142857144,8.8541878128e-12,78.5,,0.1,3.148663748261889e-08,1.1e-08,1e-08,3.7e-08,1.0,0.00012,1.0,3.77e-05,0.0054361213565284495,45.301011304403744,0.0017078481261760211,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,False,False,15,25,25,BOTH,BOTH,BOTH,0.1,10000.0,0.1,10000.0,0.0,1e-06,FULL,0.4464750378580209,0.04479713766821677,0.04479713766821677,1.4105112340181126e-09,1.4105112340181126e-09,2.151563649466226e-12,2.151563649466226e-12,6.774550465152356e-20,6.774550465152356e-20,True,brentq,15,1.0,0.632286115213646,-0.22848826272120423,0.33619779213356316,-0.1213962611268021,2.96039156369606,False,with_edl_FULL,0.0001,,,T,319.42857142857144,
ofat_compare:T:without_edl,8.314,96485.0,319.42857142857144,8.8541878128e-12,78.5,,0.1,3.148663748261889e-08,1.1e-08,1e-08,3.7e-08,1.0,0.00012,1.0,3.77e-05,0.0054361213565284495,45.301011304403744,0.0017078481261760211,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,False,False,15,25,25,BOTH,BOTH,BOTH,0.1,10000.0,0.1,10000.0,0.0,1e-06,FULL,0.4972824275267743,0.04211445927206724,0.04211445927206724,1.3260427118760988e-09,1.3260427118760988e-09,1.515142178387663e-11,1.515142178387663e-11,4.770673250551782e-19,4.770673250551782e-19,True,brentq,12,1.0,0.0,0.0,0.0,0.0,0.0,True,without_edl,0.0001,,,T,319.42857142857144,
ofat_compare:T:with_edl_FULL,8.314,96485.0,323.7142857142857,8.8541878128e-12,78.5,,0.1,3.169715891029676e-08,1.1e-08,1e-08,3.7e-08,1.0,0.00012,1.0,3.77e-05,0.005472467569414417,45.603896411786806,0.0017192668947243626,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,False,False,15,25,25,BOTH,BOTH,BOTH,0.1,10000.0,0.1,10000.0,0.0,1e-06,FULL,0.4470708598581064,0.041209707007930016,0.041209707007930016,1.3062306316771278e-09,1.3062306316771278e-09,1.310493380479727e-12,1.310493380479727e-12,4.15389169319579e-20,4.15389169319579e-20,True,brentq,15,1.0,0.6336995130922717,-0.22899876017663368,0.3380308844601056,-0.12205822028500528,2.942102551662309,False,with_edl_FULL,0.0001,,,T,323.7142857142857,
ofat_compare:T:without_edl,8.314,96485.0,323.7142857142857,8.8541878128e-12,78.5,,0.1,3.169715891029676e-08,1.1e-08,1e-08,3.7e-08,1.0,0.00012,1.0,3.77e-05,0.005472467569414417,45.603896411786806,0.0017192668947243626,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,False,False,15,25,25,BOTH,BOTH,BOTH,0.1,10000.0,0.1,10000.0,0.0,1e-06,FULL,0.4984244871197368,0.038809069124009055,0.038809069124009055,1.2301372311844065e-09,1.2301372311844065e-09,1.9520551841623046e-11,1.9520551841623046e-11,6.187460337406118e-19,6.187460337406118e-19,True,brentq,12,1.0,0.0,0.0,0.0,0.0,0.0,True,without_edl,0.0001,,,T,323.7142857142857,
ofat_compare:T:with_edl_FULL,8.314,96485.0,328.0,8.8541878128e-12,78.5,,0.1,3.190629132330094e-08,1.1e-08,1e-08,3.7e-08,1.0,0.00012,1.0,3.77e-05,0.005508573970972917,45.90478309144097,0.0017306103225473246,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,False,False,15,25,25,BOTH,BOTH,BOTH,0.1,10000.0,0.1,10000.0,0.0,1e-06,FULL,0.4476665758214359,0.03798884376635878,0.03798884376635878,1.2120831162448083e-09,1.2120831162448083e-09,8.081868507758827e-13,8.081868507758827e-13,2.5786245104516456e-20,2.5786245104516456e-20,True,brentq,15,1.0,0.6350906612324871,-0.22950122073049173,0.33984391875993,-0.12271293640710544,2.9242868543331753,False,with_edl_FULL,0.0001,,,T,328.0,
ofat_compare:T:without_edl,8.314,96485.0,328.0,8.8541878128e-12,78.5,,0.1,3.190629132330094e-08,1.1e-08,1e-08,3.7e-08,1.0,0.00012,1.0,3.77e-05,0.005508573970972917,45.90478309144097,0.0017306103225473246,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,False,False,15,25,25,BOTH,BOTH,BOTH,0.1,10000.0,0.1,10000.0,0.0,1e-06,FULL,0.4995665467152543,0.03583647682088327,0.03583647682088327,1.1434090694478231e-09,1.1434090694478231e-09,2.5842321338398477e-11,2.5842321338398477e-11,8.24532633093298e-19,8.24532633093298e-19,True,brentq,12,1.0,0.0,0.0,0.0,0.0,0.0,True,without_edl,0.0001,,,T,328.0,
ofat_compare:L_Au:with_edl_FULL,8.314,96485.0,298.0,8.8541878128e-12,78.5,,0.1,3.041217889017721e-08,1.1000000000000008e-09,1e-08,3.7e-08,1.0,0.00012,1.0,3.77e-05,0.005250617670899842,43.75514725749868,0.0016495690516077001,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,False,False,15,25,25,BOTH,BOTH,BOTH,0.1,10000.0,0.1,10000.0,0.0,1e-06,FULL,0.47480015300328476,0.03507361609296082,0.03507361609296082,1.0666650869445229e-09,1.0666650869445229e-09,-2.9555552449878064e-11,-2.9555552449878064e-11,-8.98848748303707e-19,-8.98848748303707e-19,True,brentq,13,1.0,0.9044349180442431,-0.3265340193017448,0.336645139601376,-0.12154050707450999,4.2588736018055044,False,with_edl_FULL,0.0001,,,L_Au,1.1000000000000008e-09,
ofat_compare:L_Au:without_edl,8.314,96485.0,298.0,8.8541878128e-12,78.5,,0.1,3.041217889017721e-08,1.1000000000000008e-09,1e-08,3.7e-08,1.0,0.00012,1.0,3.77e-05,0.005250617670899842,43.75514725749868,0.0016495690516077001,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,False,False,15,25,25,BOTH,BOTH,BOTH,0.1,10000.0,0.1,10000.0,0.0,1e-06,FULL,0.5595336238452788,0.02462120310194775,0.02462120310194775,7.48784433227821e-10,7.48784433227821e-10,6.38378239159465e-16,6.38378239159465e-16,1.941447320891398e-23,1.941447320891398e-23,True,brentq,16,1.0,0.0,0.0,0.0,0.0,0.0,True,without_edl,0.0001,,,L_Au,1.1000000000000008e-09,
ofat_compare:L_Au:with_edl_FULL,8.314,96485.0,298.0,8.8541878128e-12,78.5,,0.1,3.041217889017721e-08,1.5284450438104508e-09,1e-08,3.7e-08,1.0,0.00012,1.0,3.77e-05,0.005250617670899842,43.75514725749868,0.0016495690516077001,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,False,False,15,25,25,BOTH,BOTH,BOTH,0.1,10000.0,0.1,10000.0,0.0,1e-06,FULL,0.4698000211374758,0.039025447372615485,0.039025447372615485,1.1868488867651784e-09,1.1868488867651784e-09,7.613631947123167e-13,7.613631947123167e-13,2.31547136779878e-20,2.31547136779878e-20,True,brentq,14,1.0,0.8870957857985824,-0.3202849800904735,0.33694819556890293,-0.12165037075190753,4.070169935020056,False,with_edl_FULL,0.0001,,,L_Au,1.5284450438104508e-09,
ofat_compare:L_Au:without_edl,8.314,96485.0,298.0,8.8541878128e-12,78.5,,0.1,3.041217889017721e-08,1.5284450438104508e-09,1e-08,3.7e-08,1.0,0.00012,1.0,3.77e-05,0.005250617670899842,43.75514725749868,0.0016495690516077001,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,False,False,15,25,25,BOTH,BOTH,BOTH,0.1,10000.0,0.1,10000.0,0.0,1e-06,FULL,0.5498248389494304,0.028318132357759075,0.028318132357759075,8.612161070998847e-10,8.612161070998847e-10,5.533767888366015e-15,5.533767888366015e-15,1.6829393895770542e-22,1.6829393895770542e-22,True,brentq,17,1.0,0.0,0.0,0.0,0.0,0.0,True,without_edl,0.0001,,,L_Au,1.5284450438104508e-09,
