run,R,F,T,epsilon0,epsilon_r,epsilon_s,C_tot,lambda_D,L_Au,L_gap,L_Pd_len,out_of_plane_width,Cdl_Au,Cdl_C,Cdl_Pd,g_Au,g_C,g_Pd,pzc_Au,pzc_C,pzc_Pd,it0_1,it0_2,alpha1,alpha2,z_R1,z_O2,E1_eq,E2_eq,N_modes,Nx,xtol,max_bracket_expands,use_edl,use_affine_phi2,use_closed_form_when_affine,do_self_checks,do_convergence_check,dh_warn_threshold,dh_violation_action,do_ofat,do_heatmaps,do_sensitivities,ofat_n,heatmap_nx,heatmap_ny,scan_mode,heatmap_mode,sensitivity_mode,ofat_C_tot_min,ofat_C_tot_max,heatmap_C_tot_min,heatmap_C_tot_max,ofat_L_gap_min,ofat_L_gap_max,mode,E_mix,i_mix,i_mix_norm_A_per_m2,i_mix_phys_A_per_m,i_mix_abs_A,residual,residual_norm_A_per_m2,residual_phys_A_per_m,residual_abs_A,converged,method,iterations,out_of_plane_width_m,a1,b1,a2,b2,max_abs_phi_tilde,debye_huckel_ok,use_edl_case,C_tot_M,phi2_1_meanV,phi2_2_meanV,scan_param,scan_value,scan_value_M
ofat_compare:C_tot:with_edl_FULL,8.314,96485.0,298.0,8.8541878128e-12,78.5,,2.682695795279726,5.871672471365626e-09,1.1e-08,1e-08,3.7e-08,1.0,0.00012,1.0,3.77e-05,0.0010137355612440582,8.447796343700485,0.0003184819221575083,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,False,False,15,25,25,BOTH,BOTH,BOTH,0.1,10000.0,0.1,10000.0,0.0,1e-06,FULL,0.47308144506121663,0.38868145286498323,0.38868145286498323,2.282210186917718e-09,2.282210186917718e-09,7.466249840604178e-14,7.466249840604178e-14,4.383937365341355e-22,4.383937365341355e-22,True,brentq,14,1.0,0.20397978076636822,-0.07375495747174206,0.061692218004646755,-0.022274062224202217,3.835385659270983,False,with_edl_FULL,0.002682695795279726,,,C_tot,2.682695795279726,0.002682695795279726
ofat_compare:C_tot:without_edl,8.314,96485.0,298.0,8.8541878128e-12,78.5,,2.682695795279726,5.871672471365626e-09,1.1e-08,1e-08,3.7e-08,1.0,0.00012,1.0,3.77e-05,0.0010137355612440582,8.447796343700485,0.0003184819221575083,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,False,False,15,25,25,BOTH,BOTH,BOTH,0.1,10000.0,0.1,10000.0,0.0,1e-06,FULL,0.4915721295774951,0.33953327406935535,0.33953327406935535,1.9936281784656743e-09,1.9936281784656743e-09,3.6715852580471164e-11,3.6715852580471164e-11,2.1558346085947112e-19,2.1558346085947112e-19,True,brentq,12,1.0,0.0,0.0,0.0,0.0,0.0,True,without_edl,0.002682695795279726,,,C_tot,2.682695795279726,0.002682695795279726
ofat_compare:C_tot:with_edl_FULL,8.314,96485.0,298.0,8.8541878128e-12,78.5,,6.105402296585329,3.892157387615062e-09,1.1e-08,1e-08,3.7e-08,1.0,0.00012,1.0,3.77e-05,0.0006719752120074396,5.599793433395329,0.00021111221243900392,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,False,False,15,25,25,BOTH,BOTH,BOTH,0.1,10000.0,0.1,10000.0,0.0,1e-06,FULL,0.47891974393935044,0.5650374629824235,0.5650374629824235,2.199214735826312e-09,2.199214735826312e-09,9.381384558082573e-14,9.381384558082573e-14,3.651382521379895e-22,3.651382521379895e-22,True,brentq,12,1.0,0.12807353088731496,-0.04632117285934729,0.0381926058881984,-0.01378957808273375,3.857991626233291,False,with_edl_FULL,0.0061054022965853294,,,C_tot,6.105402296585329,0.0061054022965853294
ofat_compare:C_tot:without_edl,8.314,96485.0,298.0,8.8541878128e-12,78.5,,6.105402296585329,3.892157387615062e-09,1.1e-08,1e-08,3.7e-08,1.0,0.00012,1.0,3.77e-05,0.0006719752120074396,5.599793433395329,0.00021111221243900392,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,False,False,15,25,25,BOTH,BOTH,BOTH,0.1,10000.0,0.1,10000.0,0.0,1e-06,FULL,0.4915721295774951,0.5122167425216274,0.5122167425216274,1.9936281784656743e-09,1.9936281784656743e-09,5.5389248743153985e-11,5.5389248743153985e-11,2.1558367369011508e-19,2.1558367369011508e-19,True,brentq,12,1.0,0.0,0.0,0.0,0.0,0.0,True,without_edl,0.0061054022965853294,,,C_tot,6.105402296585329,0.0061054022965853294
ofat_compare:C_tot:with_edl_FULL,8.314,96485.0,298.0,8.8541878128e-12,78.5,,13.894954943731374,2.5799955981610125e-09,1.1e-08,1e-08,3.7e-08,1.0,0.00012,1.0,3.77e-05,0.0004454324212502711,3.7119368437522593,0.00013994001900946018,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,False,False,15,25,25,BOTH,BOTH,BOTH,0.1,10000.0,0.1,10000.0,0.0,1e-06,FULL,0.48343489224834846,0.8243865955976947,0.8243865955976947,2.126913787824995e-09,2.126913787824995e-09,-5.234090938444069e-11,-5.234090938444069e-11,-1.3503931581560143e-19,-1.3503931581560143e-19,True,brentq,11,1.0,0.07704880645196893,-0.027875700030348192,0.02292851249612909,-0.008278554747244489,3.746393458673623,False,with_edl_FULL,0.013894954943731374,,,C_tot,13.894954943731374,0.013894954943731374
ofat_compare:C_tot:without_edl,8.314,96485.0,298.0,8.8541878128e-12,78.5,,13.894954943731374,2.5799955981610125e-09,1.1e-08,1e-08,3.7e-08,1.0,0.00012,1.0,3.77e-05,0.0004454324212502711,3.7119368437522593,0.00013994001900946018,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,False,False,15,25,25,BOTH,BOTH,BOTH,0.1,10000.0,0.1,10000.0,0.0,1e-06,FULL,0.4915721295774951,0.7727254185575768,0.7727254185575768,1.9936281784656743e-09,1.9936281784656743e-09,8.355960368078286e-11,8.355960368078286e-11,2.155834096804985e-19,2.155834096804985e-19,True,brentq,12,1.0,0.0,0.0,0.0,0.0,0.0,True,without_edl,0.013894954943731374,,,C_tot,13.894954943731374,0.013894954943731374
ofat_compare:C_tot:with_edl_FULL,8.314,96485.0,298.0,8.8541878128e-12,78.5,,31.622776601683793,1.7102024979028212e-09,1.1e-08,1e-08,3.7e-08,1.0,0.00012,1.0,3.77e-05,0.0002952639299121681,2.4605327492680673,9.276208464740614e-05,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,False,False,15,25,25,BOTH,BOTH,BOTH,0.1,10000.0,0.1,10000.0,0.0,1e-06,FULL,0.4866473484583731,1.2122287723494818,1.2122287723494818,2.073156674501754e-09,2.073156674501754e-09,2.7511548594816304e-10,2.7511548594816304e-10,4.70503191280297e-19,4.70503191280297e-19,True,brentq,11,1.0,0.044887484583786524,-0.01624643305247097,0.013354274699612968,-0.00482180362019761,3.4897239929131842,False,with_edl_FULL,0.03162277660168379,,,C_tot,31.622776601683793,0.03162277660168379
ofat_compare:C_tot:without_edl,8.314,96485.0,298.0,8.8541878128e-12,78.5,,31.622776601683793,1.7102024979028212e-09,1.1e-08,1e-08,3.7e-08,1.0,0.00012,1.0,3.77e-05,0.0002952639299121681,2.4605327492680673,9.276208464740614e-05,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,False,False,15,25,25,BOTH,BOTH,BOTH,0.1,10000.0,0.1,10000.0,0.0,1e-06,FULL,0.4915721295774951,1.1657263867351446,1.1657263867351446,1.9936281784656743e-09,1.9936281784656743e-09,1.2605738675119937e-10,1.2605738675119937e-10,2.1558365770100317e-19,2.1558365770100317e-19,True,brentq,12,1.0,0.0,0.0,0.0,0.0,0.0,True,without_edl,0.03162277660168379,,,C_tot,31.622776601683793,0.03162277660168379
ofat_compare:C_tot:with_edl_FULL,8.314,96485.0,298.0,8.8541878128e-12,78.5,,71.96856730011521,1.1336424705211915e-09,1.1e-08,1e-08,3.7e-08,1.0,0.00012,1.0,3.77e-05,0.00019572169457820904,1.6310141214850753,6.148923237998734e-05,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,False,False,15,25,25,BOTH,BOTH,BOTH,0.1,10000.0,0.1,10000.0,0.0,1e-06,FULL,0.4887431295588582,1.7977669703650387,1.7977669703650387,2.03802498970602e-09,2.03802498970602e-09,1.364118817903659e-09,1.364118817903659e-09,1.5464230268127513e-18,1.5464230268127513e-18,True,brentq,11,1.0,0.025427909390390534,-0.009208007853186916,0.0075638355381457455,-0.002731152125392155,3.1048318735989966,False,with_edl_FULL,0.07196856730011521,,,C_tot,71.96856730011521,0.07196856730011521
ofat_compare:C_tot:without_edl,8.314,96485.0,298.0,8.8541878128e-12,78.5,,71.96856730011521,1.1336424705211915e-09,1.1e-08,1e-08,3.7e-08,1.0,0.00012,1.0,3.77e-05,0.00019572169457820904,1.6310141214850753,6.148923237998734e-05,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,False,False,15,25,25,BOTH,BOTH,BOTH,0.1,10000.0,0.1,10000.0,0.0,1e-06,FULL,0.4915721295774951,1.7586039957986974,1.7586039957986974,1.9936281784656743e-09,1.9936281784656743e-09,1.9016876962041351e-10,1.9016876962041351e-10,2.1558339380846087e-19,2.1558339380846087e-19,True,brentq,12,1.0,0.0,0.0,0.0,0.0,0.0,True,without_edl,0.07196856730011521,,,C_tot,71.96856730011521,0.07196856730011521
