material,y_nm,phi_tilde,phi_s_mV,c_Red1_over_c_bulk,c_Ox2_over_c_bulk
Au,0.0,-8.872972834983754,-227.84297095627682,0.00014012539817811172,7136.4650020755835
Au,0.06335870602120251,-8.690031490019226,-223.1453458961488,0.00016825472779387424,5943.3693965799375
Au,0.12671741204240503,-8.510861996532197,-218.5445756176843,0.00020127025585240692,4968.444024502597
Au,0.19007611806360752,-8.335386587172858,-214.0386631865578,0.00023987644320353613,4168.812854839172
Au,0.25343482408481005,-8.163529097984515,-209.6256528408736,0.00028485533644508445,3510.5538568443985
Au,0.3167935301060126,-7.995214935345126,-205.3036291422801,0.00033707168491705063,2966.727983236231
Au,0.38015223612721505,-7.83037104359042,-201.07071614458624,0.0003974779712715071,2515.8626949842346
Au,0.4435109421484176,-7.668925873304565,-196.9250765795195,0.0004671192996402344,2140.7807401025375
Au,0.5068696481696201,-7.51080935026461,-192.86491105927132,0.0005471380831126125,1827.6921875207488
Au,0.5702283541908226,-7.355952845025229,-188.88845729548476,0.000638778470629731,1565.4879523634597
Au,0.6335870602120252,-7.204289143130551,-184.9939893343447,0.0007433904525532319,1345.1881128758419
Au,0.6969457662332277,-7.055752415940169,-181.17981680743864,0.0008624335841220564,1159.509576633642
Au,0.7603044722544301,-6.910278192056651,-177.44428419806377,0.0009974802667959354,1002.5260982978224
Au,0.8236631782756326,-6.767803329342142,-173.78577012266018,0.0011502185291149642,869.4000093786092
Au,0.8870218842968352,-6.628265987511936,-170.2026866270604,0.0013224542511783516,756.1698252389193
Au,0.9503805903180377,-6.491605601293107,-166.69347849724792,0.0015161127801456092,659.5815384551794
Au,1.0137392963392402,-6.357762854136539,-163.25662258432683,0.001733239888257896,576.9541808809363
Au,1.0770980023604426,-6.226679652470976,-159.89062714340903,0.001976002029719561,506.07235466348294
Au,1.1404567083816453,-6.098299100487872,-156.5940311861319,0.002246685858310367,445.1000553998483
Au,1.2038154144028477,-5.972565475446152,-153.36540384652614,0.002547696973745267,392.51135841714336
Au,1.2671741204240503,-5.849424203486108,-150.20334375995733,0.002881557871478696,347.03450168323064
Au,1.3305328264452527,-5.728821835941977,-147.10647845487316,0.003250905077772282,307.60664371205235
Au,1.3938915324664554,-5.610706026142893,-144.07346375709074,0.003658485459310756,273.33715307109514
Au,1.4572502384876578,-5.495025506692161,-141.1029832063669,0.00410715170435674,243.4777363931385
Au,1.5206089445088602,-5.381730067214972,-138.193747484997,0.004599856980275107,217.39806352418205
Au,1.5839676505300628,-5.270770532564921,-135.3444938581949,0.005139648780123832,194.56582400478862
Au,1.6473263565512652,-5.162098741479855,-132.55398562601155,0.005729661978794962,174.53036561335085
Au,1.7106850625724679,-5.055667525677791,-129.82101158655308,0.006373111126792616,156.9092363376485
Au,1.7740437685936703,-4.951430689383828,-127.14438551026655,0.007073282017056132,141.37708599609823
Au,1.837402474614873,-4.849342989279179,-124.52294562506496,0.007833522567183152,127.65649060478661
Au,1.9007611806360754,-4.749360114863599,-121.95555411206755,0.008657233065894865,115.51034751963604
Au,1.964119886657278,-4.651438669222701,-119.44109661173681,0.009547855838537005,104.73555706233073
Au,2.0274785926784804,-4.555536150191809,-116.97848174019818,0.010508864391760232,95.15776041263582
Au,2.090837298699683,-4.461610931908175,-114.56664061553195,0.011543752102215754,86.62694686661332
Au,2.1541960047208852,-4.369622246743536,-112.20452639383197,0.01265602051809219,79.01377834924239
Au,2.217554710742088,-4.279530167609198,-109.89111381482982,0.013849167345573711,72.20650708070235
Au,2.2809134167632905,-4.191295590625945,-107.62539875688763,0.015126674194796163,66.10838490486013
Au,2.344272122784493,-4.104880218151246,-105.40639780116514,0.01649199416160606,60.6354810825749
Au,2.4076308288056953,-4.020246542156425,-103.23314780477357,0.017948539322385465,55.714840190521656
Au,2.470989534826898,-3.9373578279465344,-101.10470548272946,0.019499668219407632,51.282923829684435
Au,2.5343482408481006,-3.856178098215911,-99.02014699852816,0.021148673413649132,47.2842896781701
Au,2.597706946869303,-3.776672117432452,-96.97856756315856,0.022898769180737306,43.67046945218396
Au,2.6610656528905055,-3.6988053765438687,-94.9790810423853,0.02475307942379019,40.39901391173576
Au,2.724424358911708,-3.6225440779992533,-93.02081957212796,0.02671462587435639,37.43267844001173
Au,2.7877830649329107,-3.5478551210794746,-91.10293318177038,0.02878631664953159,34.73872715897718
Au,2.851141770954113,-3.4747060875300266,-89.22458942523649,0.03097093522967367,32.28833719693058
Au,2.9145004769753156,-3.4030652274900977,-87.38497301967244,0.03327112991701594,30.056087740157196
Au,2.977859182996518,-3.332901445711745,-85.58328549157837,0.03568940383095074,28.01952099667115
Au,3.0412178890177204,-3.264184288063212,-83.8187448302363,0.03822810549088465,26.15876426935272
Au,3.1045765950389232,-3.19688392831051,-82.09058514828344,0.040889420032418716,24.456204054915947
Au,3.1679353010601257,-3.1309711551715314,-80.39805634928373,0.04367536109724219,22.896204516169266
Au,3.231294007081328,-3.066417359637087,-78.74042380215347,0.04658776343161181,21.464863868555167
Au,3.2946527131025305,-3.0031945225533527,-77.11696802229937,0.04962827622268115,20.149803219298178
Au,3.3580114191237334,-2.9412752024603344,-75.52698435933104,0.052798357196303575,18.93998323247092
Au,3.4213701251449358,-2.8806325236810877,-73.9697826912121,0.05609926749431383,17.825544693633642
Au,3.484728831166138,-2.8212401646564995,-72.44468712471713,0.05953206734375125,16.79766963619422
Au,3.5480875371873406,-2.763072346520589,-70.95103570206466,0.06309761252506525,15.848460187027747
Au,3.611446243208543,-2.7061038219113627,-69.48818011359877,0.06679655164109094,14.970832706651796
Au,3.674804949229746,-2.650309864012356,-68.05548541639448,0.07062932418353562,14.158425152156697
Au,3.7381636552509483,-2.5956662558201242,-66.65232975866483,0.07459615938890736,13.405515889718883
Au,3.8015223612721507,-2.5421492796330054,-65.27810410985029,0.07869707587128333,12.706952436652115
Au,3.864881067293353,-2.489735706756614,-63.93221199627297,0.08293188201507162,12.058088827867973
Au,3.928239773314556,-2.4384027874215697,-62.61406924224111,0.0873001771070001,11.454730484387708
Au,3.9915984793357584,-2.388128240909113,-61.3231037164914,0.0918013531829692,10.893085617233776
Au,4.054957185356961,-2.3388902458803043,-60.058755083859225,0.09643459756216216,10.369722332852538
Au,4.118315891378163,-2.2906674309046138,-58.820474562068775,0.10119889603790624,9.881530719716826
Au,4.181674597399366,-2.243438865183788,-57.607724683537626,0.10609303669223925,9.425689292887874
Au,4.245033303420568,-2.1971840494669808,-56.419979062092615,0.11111561429894487,8.99963525656804
Au,4.3083920094417705,-2.1518829071531793,-55.25672216449517,0.11626503527798891,8.601038116137039
Au,4.371750715462974,-2.1075157755770912,-54.11744908667757,0.12153952316279046,8.227776232597165
Au,4.435109421484176,-2.0640633974746914,-53.001665334592595,0.12693712454060882,7.877915965239052
Au,4.498468127505379,-2.021506912624734,-51.90888660958167,0.13245571542548976,7.549693093934701
Au,4.561826833526581,-1.979827849662593,-50.8386385981681,0.13809300802269073,7.2414962518282255
Au,4.625185539547783,-1.939008118062889,-49.79045676618447,0.14384655784326925,6.9518521332263585
Au,4.688544245568986,-1.8990300002874148,-48.76388615714454,0.1497137711275647,6.679412270952302
Au,4.751902951590188,-1.8598761440949545,-47.7584811947725,0.15569191253660292,6.422941202966477
Au,4.815261657611391,-1.8215295550096522,-46.7738054896033,0.16177811307099393,6.181305870227111
Au,4.878620363632593,-1.7839735889446766,-45.80943164957082,0.16796937817764693,5.953466107032825
Au,4.941979069653796,-1.747191944977958,-44.864941094501006,0.1742625960055895,5.738466101858857
Au,5.005337775674999,-1.711168658276885,-43.93992387443,0.1806545457733037,5.5354267213118495
Au,5.068696481696201,-1.6758880931688669,-43.03397849166789,0.18714190621129256,5.343538602577608
Au,5.132055187717404,-1.6413349363547776,-42.146711726531365,0.1937212640450104,5.162055930874238
Au,5.195413893738606,-1.6074941902623139,-41.27773846666924,0.20038912248484744,4.990290828164167
Au,5.2587725997598085,-1.5743511665364014,-40.42668153990698,0.20714190969149848,4.827608287909118
Au,5.322131305781011,-1.541891479663803,-39.59317155053747,0.21397598718677982,4.673421598130537
Au,5.385490011802213,-1.510101040729189,-38.77684671898739,0.22088765818174233,4.527188201602546
Au,5.448848717823416,-1.4789660512999292,-37.97735272478902,0.22787317579577707,4.388405947772515
Au,5.512207423844619,-1.4484729974369752,-37.19434255278978,0.23492875114226977,4.256609696079358
Au,5.5755661298658215,-1.4186086438292245,-36.427476342532614,0.2420505612582537,4.131368234808837
Au,5.638924835887024,-1.3893600280488183,-35.67642124074174,0.24923475685739835,4.012281483565946
Au,5.702283541908226,-1.3607144549248846,-34.94085125684983,0.2564774698875521,3.898977950922675
Au,5.765642247929429,-1.3326594910332832,-34.220447121504,0.2637748208759179,3.7911124218729317
Au,5.829000953950631,-1.3051829592999573,-33.51489614798895,0.2711229260467725,3.688363852444872
Au,5.8923596599718335,-1.2782729337155552,-32.82389209650739,0.2785179041984268,3.5904334512281904
Au,5.955718365993036,-1.2519177341590246,-32.14713504125867,0.285955883327871,3.4970429297075207
Au,6.019077072014238,-1.226105921327929,-31.48433124025786,0.2934330069932345,3.4079329051862817
Au,6.082435778035441,-1.2008262917732972,-30.83519300783906,0.3009454404058131,3.322861441766784
Au,6.145794484056644,-1.1760678730368357,-30.19943858978721,0.30848937624498474,3.241602716347213
Au,6.2091531900778465,-1.1518199188884082,-29.57679204104463,0.31606104019081416,3.163945797926484
Au,6.272511896099049,-1.1280719046617012,-28.96698310593875,0.3236566961705733,3.0896935296928967
Au,6.335870602120251,-1.1048135226860638,-28.36974710087948,0.3312726513167345,3.018661504429129
Au,6.399229308141454,-1.0820346778125287,-27.78482479947497,0.3389052606352618,2.950677124708975
Au,6.462588014162656,-1.0597254830320804,-27.21196232001614,0.34655093138420173,2.885578740203574
Au,6.525946720183859,-1.0378762551842609,-26.650911015280922,0.35420612716368155,2.8232148551679117
Au,6.589305426205061,-1.0164775107542605,-26.101427364610608,0.36186737171943845,2.763443399852352
