condition,E_mix_V,I_Au_A,I_Pd_A,i_mix_avg_A_per_m2,phi_RP_Au_V,phi_RP_Pd_V,max_abs_phi_tilde
with EDL,0.5918979952021372,6.335375245416762e-13,-6.33537524541678e-13,0.015838438113541905,-0.2278429709562768,-0.021953019447997657,8.872972834983754
w/o EDL,0.46699999999999986,4.7024141631489615e-12,-4.702414163148978e-12,0.11756035407872402,0.0,0.0,0.0
