check_kind,L_support_nm,pzc_support_V,low_N_modes,high_N_modes,E_mix_low_modes_V,E_mix_high_modes_V,i_mix_avg_low_modes_A_per_m2,i_mix_avg_high_modes_A_per_m2,mode_delta_E_mV,mode_delta_i_percent,relative_balance_low_modes,relative_balance_high_modes,E_tolerance_mV,i_tolerance_percent,passed
original_requested_resolution_audit,1.0,0.1,480,960,0.5689654021723162,0.5689657632460888,0.032277031514210804,0.03227667455653114,0.0003610737726589264,0.0011059185523536901,2.4517459413748666e-16,0.0,0.002,0.005,True
original_requested_resolution_audit,1.0,0.5,480,960,0.5811562310957215,0.5811563626802385,0.03041094031257928,0.030410792632363518,0.00013158451706019036,0.0004856154207768952,8.673970639206808e-17,1.9082828075410797e-15,0.002,0.005,True
original_requested_resolution_audit,1.0,0.9,480,960,0.5931037116491967,0.5931036980710537,0.029898905136973297,0.029898806994328404,1.3578143054360226e-05,0.0003282482901740786,4.595649184213629e-13,4.578901431791455e-13,0.002,0.005,True
original_requested_resolution_audit,3.0,0.1,480,960,0.5527836375892614,0.5527845806432115,0.030077432131562904,0.030076538179618438,0.0009430539500421276,0.0029721684369721658,1.490925567674353e-15,1.754082213894806e-15,0.002,0.005,True
original_requested_resolution_audit,3.0,0.5,480,960,0.5736835700708557,0.5736838554765842,0.026690026522518052,0.02668980083633757,0.0002854057284951139,0.0008455824511567394,7.906581978386037e-16,1.2848304357884258e-15,0.002,0.005,True
original_requested_resolution_audit,3.0,0.9,480,960,0.5939385647187516,0.5939385377254413,0.025792472828481985,0.025792388418525172,2.699331036470909e-05,0.0003272658553282667,2.070998777048412e-13,2.0495284601006852e-13,0.002,0.005,True
original_requested_resolution_audit,6.0,0.1,480,960,0.5464753997005543,0.5464773008598443,0.02926958097156855,0.029267727154770308,0.0019011592899964569,0.0063335952777866375,1.9826861477930577e-15,1.7124283131909723e-15,0.002,0.005,False
original_requested_resolution_audit,6.0,0.5,480,960,0.5707755963131791,0.5707761079517029,0.025425588578057615,0.025425187564201448,0.0005116385237702303,0.0015772057938232295,0.0,1.0374893113999652e-15,0.002,0.005,True
original_requested_resolution_audit,6.0,0.9,480,960,0.5942631618529264,0.594263116697331,0.024419563460164006,0.02441945476239658,4.5155595373991275e-05,0.00044512575993897806,1.5079790878404186e-13,1.5123066764922201e-13,0.002,0.005,True
original_requested_resolution_audit,15.0,0.1,480,960,0.5445315334215866,0.5445388505547559,0.028989787536819165,0.02898307704081537,0.007317133169371104,0.023147792978029998,4.665155040623837e-13,4.621638813877463e-13,0.002,0.005,False
original_requested_resolution_audit,15.0,0.5,480,960,0.5698784881287533,0.5698805915450644,0.02503636232752574,0.02503480267910435,0.0021034163111277593,0.006229532872964434,7.375213697254267e-16,2.1073351906396615e-16,0.002,0.005,False
original_requested_resolution_audit,15.0,0.9,480,960,0.5943633337530998,0.5943631408326006,0.024005387493347876,0.024004865687059063,0.000192920499242355,0.002173704919189267,1.3636749329195792e-13,1.345023691232578e-13,0.002,0.005,True
original_requested_resolution_audit,1000.0,0.1,5760,7680,0.5443306327868787,0.5443956487748243,0.02912402588801277,0.02906442098131097,0.0650159879456158,0.20465888517950812,5.638138550514163e-13,5.325694207504163e-13,0.03,0.1,False
original_requested_resolution_audit,1000.0,0.5,5760,7680,0.5698091985231931,0.5698300077290945,0.025062051215655794,0.02504680111232157,0.02080920590141755,0.0608493822113732,2.105044005473928e-15,9.47846561240091e-16,0.03,0.1,True
original_requested_resolution_audit,1000.0,0.9,5760,7680,0.5943702526941597,0.5943682591874202,0.024007799727263218,0.024002311741911867,0.001993506739461637,0.022859176657988,1.354747984675137e-13,1.341869829842081e-13,0.03,0.1,True
