L_support_nm,pzc_support_V,N_modes,gl_order,Nx_2d,Ny_2d,y_max_nm,phi_s_min_mV,phi_s_max_mV,shared_abs_color_limit_mV,phi_tilde_min,phi_tilde_max,c_Red1_over_c_bulk_min,c_Red1_over_c_bulk_max,c_Ox2_over_c_bulk_min,c_Ox2_over_c_bulk_max,shared_reactant_log_vmin,shared_reactant_log_vmax,reactant_reciprocity_max_error,surface_reconstruction_max_error_phi_tilde,surface_reconstruction_max_error_mV,E_mix_2d_case_V,E_mix_difference_from_main_scan_V,i_mix_avg_2d_case_A_per_m2,i_mix_avg_difference_from_main_scan_A_per_m2
1.0,0.1,960,128,901,320,15.206089445088606,-204.33294398242577,8.543774468774169,220.0,-7.957413185225031,0.33272335965198013,0.000350057481109119,1.3947613978159226,0.716968509141359,2856.6737006494163,0.0001,10000.0,2.220446049250313e-16,1.9539925233402755e-14,5.115907697472721e-13,0.5689657632460888,0.0,0.03227667455653114,0.0
1.0,0.5,960,128,901,320,15.206089445088606,-205.7788915357445,-0.7202597291835865,220.0,-8.013723253986688,-0.028049340229175317,0.0003308904335049403,0.9723403901199814,1.028446426951991,3022.148417551847,0.0001,10000.0,2.220446049250313e-16,1.887379141862766e-14,4.831690603168681e-13,0.5811563626802385,0.0,0.030410792632363518,0.0
1.0,0.9,960,128,901,320,15.206089445088606,-207.38902286189693,-0.85311026185436,220.0,-8.076427191956531,-0.033222987511570976,0.00031077940940952545,0.9673228346261605,1.033781033801883,3217.716392150882,0.0001,10000.0,2.220446049250313e-16,2.6645352591003757e-14,6.536993168992922e-13,0.5931036980710537,0.0,0.029898806994328404,0.0
3.0,0.1,960,128,1102,320,15.206089445088606,-202.39216554583965,106.99574304137967,220.0,-7.881832734907538,4.166774675911545,0.00037754049069515367,64.50706004744475,0.015502179129920088,2648.722520222217,0.0001,10000.0,2.220446049250313e-16,1.7763568394002505e-14,4.547473508864641e-13,0.5527845806432115,0.0,0.030076538179618438,0.0
3.0,0.5,960,128,1102,320,15.206089445088606,-207.21640324333717,-0.487408023098951,220.0,-8.06970480249752,-0.018981310375118174,0.0003128756275386521,0.9811977002883931,1.019162600672709,3196.1581918887614,0.0001,10000.0,2.220446049250313e-16,1.84297022087776e-14,4.725109192804666e-13,0.5736838554765842,0.0,0.02668980083633757,0.0
3.0,0.9,960,128,1102,320,15.206089445088606,-212.46892201459838,-0.8610757461222972,220.0,-8.274255577871612,-0.03353319030268741,0.0002549978159175836,0.9670228149188299,1.0341017653073037,3921.602216088017,0.0001,10000.0,2.220446049250313e-16,2.1316282072803006e-14,5.684341886080801e-13,0.5939385377254413,0.0,0.025792388418525172,0.0
6.0,0.1,1920,128,1402,320,15.206089445088606,-201.0029026270285,165.04680467484675,220.0,-7.827730156769952,6.427478575416814,0.00039852905289018274,618.6121959218137,0.0016165216376147712,2509.227351802521,0.0001,10000.0,2.220446049250313e-16,1.865174681370263e-14,4.831690603168681e-13,0.546477845463216,0.0,0.0292672876403778,0.0
6.0,0.5,1920,128,1402,320,15.206089445088606,-207.57788666965152,15.423026862692918,220.0,-8.083782184865395,0.600624622350804,0.00030850201443551197,1.8232572920457046,0.5484689431177289,3241.4699198310614,0.0001,10000.0,2.220446049250313e-16,1.865174681370263e-14,4.831690603168681e-13,0.5707762829359903,0.0,0.025425065079869625,0.0
6.0,0.9,1920,128,1402,320,15.206089445088606,-214.68830349907935,-0.8293444226293545,220.0,-8.360685769418073,-0.03229746567098484,0.00023388388834315682,0.9682185274642099,1.0328246895037494,4275.625854709538,0.0001,10000.0,2.220446049250313e-16,2.1316282072803006e-14,5.684341886080801e-13,0.5942630995720012,0.0,0.024419394738570716,0.0
15.0,0.1,3840,128,2302,320,15.206089445088606,-200.48655499391083,202.600471756938,220.0,-7.807621840490402,7.889944880499199,0.00040662391540259655,2670.296731197523,0.0003744902161309763,2459.2749273241943,0.0001,10000.0,2.220446049250313e-16,2.042810365310288e-14,5.400124791776761e-13,0.5445413004074826,0.0,0.028980832898426134,0.0
15.0,0.5,3840,128,2302,320,15.206089445088606,-207.67939017576978,30.66719078310516,220.0,-8.08773507333355,1.1942837191847104,0.0003072849474300684,3.3011923427048693,0.30292085288815335,3254.308446812479,0.0001,10000.0,2.220446049250313e-16,1.865174681370263e-14,4.831690603168681e-13,0.5698812936186239,0.0,0.025034283646159478,0.0
15.0,0.9,3840,128,2302,320,15.206089445088606,-215.43713086930498,-0.7511499525237172,220.0,-8.389847629826658,-0.029252309587471468,0.0002271618884180931,0.9711713976968401,1.0296843609393025,4402.146887243219,0.0001,10000.0,2.220446049250313e-16,2.7977620220553945e-14,7.247535904753022e-13,0.5943630764695588,0.0,0.02400469270373413,0.0
